ID - Municipio,Nombre,NN,Básica,Insuficiente,Satisfactoria
140140077,Cordoba,89431,152543,24191,206860
64270427,La Matanza,42182,100252,86105,218981
820840210,Rosario,67569,91940,21528,176510
63570357,General Pueyrredon,106983,33094,12783,155162
64410441,La Plata,49874,30015,21448,158425
64900490,Lomas de Zamora,21020,35675,28505,103124
66580658,Quilmes,18623,37335,24790,101592
64340434,Lanus,20839,28379,11095,97658
900840014,San Miguel de Tucumán,24145,34636,18671,80101
60280028,Almirante Brown,13682,33650,29199,79765
