municipio,nombre,NN,Casa,Casilla,Departamento,Local no construido para habitación,Persona/s viviendo en la calle,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Vivienda móvil
140140077,Cordoba,454,332555,1424,134162,405,154,609,1297,1937,28
64270427,La Matanza,149,359347,14658,64903,848,65,149,2891,4464,46
820840210,Rosario,421,219272,4323,129210,344,69,588,533,2763,24
63570357,General Pueyrredon,573,180328,3008,121982,404,45,59,378,1191,54
64410441,La Plata,377,171940,12007,72567,295,33,308,315,1878,42
64900490,Lomas de Zamora,108,159427,3321,22603,230,30,42,1087,1466,10
66580658,Quilmes,97,153769,5618,20547,246,27,102,669,1252,13
64340434,Lanus,84,124151,1288,31352,167,20,60,425,419,5
900840014,San Miguel de Tucumán,173,113766,4054,37695,133,29,138,504,1056,5
60280028,Almirante Brown,78,132653,6116,15537,213,14,17,350,1287,31
